"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","TSME","sigma","NLL","mse"
3,15,13.3722162336923,2.58936778709017,1.68161651859278,3.98960904608872,2.836268807198,0.135112345668714,1.13246810987457,1.96416742463357,0.0152486807573686,0.0614534849244703,0.214041241639475,0.855862701918377,0.475326205900323,60.8235676182667,1.00683081547059
4,15,10.7903856695165,2.33905295115458,2.41062650385718,3.3622602860732,0.984246713707904,0.150944971380659,1.01107304268727,1.79721103057722,0.0104626288264504,0.328464779561936,0.583800667782776,0.728755676160418,0.501581007503429,62.965583990134,1.0100600686604
5,15,16.4069029775898,2.81377928181024,1.98353871678121,3.57865986311988,2.53033519335031,0.0913125083329326,1.58102598858897,1.82501353815799,0.0372465518470283,0.18460911375458,0.8603286864516,0.763844819238357,0.474995953257468,59.7961961629474,0.98950800639215
6,15,14.6607748852609,2.16572760035666,1.64556377479681,3.06965032566192,1.40620818190612,0.000358068905418973,3.60075649080908,2.35369950634942,0.674910679689738,0.109060014577957,0.0069860646041863,0.767139459902771,0.618433009268172,75.3774757583754,0.82730494951654
7,15,17.6829679309661,2.77171523221639,2.03657353360773,3.50261300531789,2.09783795986447,0.153422515869504,1.48463440123355,1.87100915003028,0.0599347845904106,0.0372973031775793,0.204814487893664,0.547012701613012,0.525906389947212,61.0535556751938,0.990957112396683
8,15,15.3871343993577,2.86560824761382,1.97060662422617,3.44203040249395,1.32554300464706,0.745630922439898,1.3675315418738,2.64557102237733,0.00143677130497323,0.0590449871560292,0.0674264927442267,0.255019903369766,0.499947882560248,61.8097229940039,1.42864475593427
9,15,13.6933821965957,2.58795711226747,1.87377036509795,3.65644262396284,2.67861135721353,0.0222888873922347,2.16717223848962,1.58733171608663,0.0129651396583104,0.104589320013828,0.0474516808923007,0.842645840511897,0.531157311462547,58.1802708285361,0.74064614404134
10,15,15.348936485412,2.94119081869568,1.68133994734374,4.30393696967569,2.49592573581116,0.0781144941351444,1.85961091748554,3.45420784175851,0.0166519155618731,0.231087623823909,0.467790405234132,0.994414940541822,0.513038911416053,63.5397895895683,1.34975908518728
1,25,27.9631737826202,2.78918755174287,2.57304630787545,3.66265385203223,1.83262992372385,0.0992793283608442,1.32632691758324,1.57997822578809,0.0358135790647011,0.191225560506597,0.827913175835485,0.920471384359336,0.473899218335682,60.6912837204307,0.922314712679227
2,25,23.6846325191972,2.80632128849487,2.17536657842968,5.00360049852603,2.8247814560429,0.0463269826525919,2.80362725253612,3.33689489490229,0.00550391393188151,0.0883203299278061,0.165481794562811,0.704759393491871,0.510415755601147,63.4524775013954,1.41716568741834
3,25,23.0498407596609,2.83573050202591,1.75820075119382,3.48913065771272,1.79812092501468,2.51927706716733,0.250097171142043,2.73139470610102,0.00123776161647915,0.00221274292087459,0.360301682962914,0.224726754839421,0.470445988148194,67.4302575073797,1.37474332431946
4,25,29.6441491156596,2.98945989091676,2.1237075157247,3.47889215572599,2.1078862658889,0.576288776671909,1.43797769632368,2.59894578666461,0.00219014258870478,0.0265307093296051,0.329376309891078,0.275062945052916,0.516444155141691,63.4107432928075,1.35173090372182
5,25,24.2371991683697,2.94377805489472,1.7626169563452,3.68191842854185,2.01744036488944,0.467155576658802,1.12860410119803,2.93168124496351,0.00836290108650191,0.0396085812735095,0.333379826554473,0.366902393406921,0.503332058447085,62.796336310641,1.28668133161159
6,25,27.8163642112057,2.99978682804672,2.11105821870972,3.46474831272907,1.15414267851796,0.202563156309242,1.26158152082394,2.5703280776661,0.0383288536329341,0.00749793905896895,0.720052529449625,0.48522557669713,0.520157558066092,64.0757975901308,1.0764359097592
7,25,26.7442859484782,2.9928990242517,2.4118314160723,3.05295139663172,2.43653161167778,0.0605407879726342,1.54578070130682,1.39446549488794,0.0494972387275569,0.151805630451162,0.585929306607323,0.857082233805672,0.485525102787281,60.1508252772612,0.828602376875371
8,25,23.7550762212691,2.89064902765109,1.96807593797742,3.53092154519391,1.98808833482292,0.372430517261451,1.48402545306826,3.22495693305864,0.00188058387173849,0.0243191959507824,0.738145883667666,0.584760268077908,0.534453046673132,64.0052472894355,1.56446345123244
9,25,26.0577235535998,2.74945695812811,1.97269547235214,3.84056218023867,2.83820126281235,0.195231579557967,1.88752022129597,3.07258469470332,0.00709984350637827,0.0978785393478179,0.839592028403005,0.653708674623389,0.457367544619287,63.8045914609613,1.55451853958232
10,25,22.0753952969811,2.9712518485407,2.00096404784095,4.15794887192372,2.26268251797469,0.180224196872008,1.57729011163087,2.22538049642355,0.00864863151667556,0.0538858691799155,0.214475448999077,0.692629468643122,0.553203565651924,62.4064484364819,1.27762754155974
