"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","ABLA","OTHR","PICO","PIMO","PSME","THPL","TSHE","sigma","NLL","mse"
6,25,24.5631275988498,2.46575403639067,4.37957273063644,4.09201830798425,2.8576040698904,0.0351248353181451,0.943272967875158,0.58549668491762,0.672126431958559,0.0998226273188804,0.14061063542505,0.0430059921537944,0.44026656146157,0.74178625508777,0.497243010969992,0.727681891890044,0.878725033093874,314.334740241416,1.10556000814303
7,25,25.0050472404335,2.71968333802121,3.83955768956811,4.07661083244112,2.52341298682965,0.031371260042994,0.143621097617989,0.181475234032982,0.380493667295372,0.559672578710633,0.0529955757900205,0.191307162826695,0.362941535782131,0.912950149634758,0.611990293644661,0.905750013319632,0.890462823148799,315.971327895743,0.983694490116187
8,25,24.2231107182539,2.89589367961793,3.78172894047476,4.7984073936189,2.44281885515091,0.0143029945657603,0.796421020285345,0.175186807282594,0.56029495074133,0.373062550428802,0.118538168717269,0.254961300051079,0.0763270874866833,0.789021578637605,0.972466284733899,0.797697286168288,0.94129431942183,315.570675374232,1.0997588528095
9,25,25.8519459462245,2.4968756900064,4.95388496761196,3.60673411083064,2.74783632821068,0.0343789340426651,0.625742728645203,0.344252509686411,0.377018883963475,0.0276356255872944,0.540660452161594,0.0411064842390421,0.808898183414786,0.563092618542363,0.442441502890747,0.800327739092105,0.88946330034329,313.301776325443,0.970217369845974
10,25,24.5744787752839,2.45546764762995,4.12445272573356,4.75771282217562,2.42455557619529,0.0185969301198784,0.963178957478249,0.396085999666213,0.30702020508501,0.908866165526122,0.0688539680268803,0.136657617229964,0.768505260326164,0.621460930207597,0.434366349233101,0.951757010998544,0.858575509683743,314.418123043591,1.00144972596871
1,30,26.7851519657758,2.29971683324829,4.0416378560767,4.16127097605486,1.91608054733859,0.0219873038523884,0.576155842554769,0.208707830934006,0.138659749111847,0.338806356182908,0.261317972584188,0.0489229255049244,0.0873985627701155,0.515488500826683,0.938325006367294,0.788419802382613,0.880401752448704,314.065793404152,1.07552480023011
2,30,29.2380628769462,2.88696183042271,3.78053907426728,4.85659633517284,2.20878173183509,0.0278943722075433,0.946697009479192,0.662663790135891,0.388689765213253,0.00290064668821441,0.197034861409254,0.0614123060643837,0.360283205504964,0.786966506003429,0.502251852244967,0.913758948627561,1.01161452395891,318.502198466384,1.03335581423392
3,30,28.3591075181141,2.57918461028321,4.15600610662657,3.71452901080299,2.68062390026964,0.0172126155213862,0.580339556104753,0.0905827565503951,0.355801769332842,0.379176648169884,0.160091457613274,0.0489971657341713,0.0222061200149353,0.730901754272515,0.595600446840233,0.70227623016956,0.911473782623099,311.937585314712,1.05114577721533
4,30,29.2126542636857,1.77598134609755,2.63460890743978,3.97382081519443,2.80496565459127,1.81689195082047,0.250299154581509,3.08276926331364,0.00639044882632873,0.942830146901282,0.216458578300249,0.0707762098031191,0.0106595098414645,0.072917477427034,0.660532922455964,0.00740078426337667,1.09343587613441,362.295018352626,1.29968754760436
5,30,28.7605036539061,2.46195474764289,3.91848793800093,4.3489538687284,2.03856604701878,0.046671421767978,0.744171451194136,0.773258648525428,0.200633236731105,0.909407967262116,0.184761462959229,0.264426072752442,0.0154215999171118,0.767489599228392,0.290203812532417,0.923410042116392,0.880561260274215,320.178287428247,1.02709260241105
6,30,29.7957855458004,2.32690388044288,4.46744021426917,3.68734670717182,2.97976216989261,0.0423656457249999,0.123658591398888,0.168039261924316,0.221309062648381,0.0742739893323464,0.0116191323406738,0.052899592776744,0.253638992200518,0.670055179740423,0.775089102929744,0.639593209933234,0.924406295560583,314.514261613222,0.873110927025938
7,30,27.6130622179848,2.7695062934361,4.21508567931748,4.73032616998915,2.31182535196542,0.0303997314383556,0.804828108428084,0.560540052187991,0.836000672719011,0.720771921086281,0.0970825480035221,0.12917257193948,0.379048835354109,0.974132220517438,0.31569927752459,0.80797999215186,0.951524741579779,314.576407965291,0.915306380468816
8,30,28.183340020124,2.02529539271493,3.7464108858133,4.59127286164715,2.80456470571262,0.00908943118732433,1.26143729845632,0.348579629136295,0.478662933707812,0.702261810492865,0.00606576369478475,0.0936384520798518,0.0140103533882941,0.712192317986386,0.415692420852534,0.620357767163058,0.93716253920986,320.15162484799,1.08861322411855
