"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","OTHR","PSME","THPL","TSHE","sigma","NLL","mse"
8,25,25.8429910694643,2.70820538469751,2.91181443160471,5.03338586741299,0.716507735854591,0.000864713201078284,3.88431539909081,2.46116957476515,0.425430496001618,0.0229487208872993,0.276238901864084,0.0622897471630722,0.063434332655071,2.76596428581113,227.44160126184,4.16464023498629
9,25,26.046201224428,2.30908407802033,6.32271644325168,4.43204253150193,2.30442954050986,0.0811148917779022,0.518077884142388,0.268386539883911,0.11978187456812,0.31281965609276,0.788593749616262,0.912685787888491,0.010017433349342,1.74139219525332,192.341227895051,1.7255038319317
10,25,26.0083154953735,2.68834508987293,7.59149487306004,5.39626820397103,2.56842710150233,0.0706781802002314,1.15411207602013,0.497625271729497,0.112492656588889,0.928767380333779,0.434375713515763,0.716443095806117,0.0303814622119401,1.43142339140326,188.024953732249,2.01519609912348
1,30,29.3891671406795,2.4116025183647,5.23935165720644,4.4871058397084,2.03252083941082,0.0505568196086576,0.716233349585457,0.41229152775818,0.151825726752018,0.296391242850816,0.925721453326701,0.709399543265419,0.00529484978066054,1.57079530056465,197.357068690557,1.87946329977378
2,30,27.424620090915,2.91701330127288,8.10403219766248,5.07204967471126,0.945090312892189,0.0403197666828747,1.10730840224794,0.452546683439618,0.364016059215615,0.961944821434901,0.902579193334912,0.700441053581263,0.00483903142997155,1.46921151028239,180.065450521808,1.33230724290848
3,30,29.6780320969897,2.11979099128068,5.86374505060239,5.97794794445196,2.67810384857443,0.0113123036760234,1.52043915861912,0.461503290192614,0.387702720800233,0.955717799734775,0.652314000069737,0.737875673522432,0.0144253903661952,1.84914030859719,196.079019422189,2.09046181229324
4,30,29.6094171051225,2.08937857625358,7.25911083790792,5.59889022931739,1.28742385663947,2.6164784597043,0.242641815293801,1.27052464946461,0.0429921750729727,0.188071658846933,0.660901702481991,0.117929049260667,0.000184466144208937,1.62885652595407,200.703109894976,2.34869698900743
5,30,28.5362758595548,2.66423367170184,7.18854257679243,5.23442245498511,1.35529510679389,0.0355705575537732,1.33012700852817,0.708308424133201,0.189760827495864,0.431525620063588,0.771177789975084,0.927386893132254,0.00796697996703843,1.4623120490339,183.881598982784,1.31405596102889
6,30,28.0551290389143,2.35314033142335,7.17358296914394,5.20585302473479,2.84309822034558,0.0881720164429486,0.710765053465852,0.382712087456475,0.147526311903818,0.191002732087157,0.579220647085875,0.681686463241563,0.0236166233394097,1.52496667305242,185.946010457268,1.2146011943183
7,30,28.4775155504272,2.38520587399387,6.96568161262696,5.11834350470112,2.14532169542355,0.0573622620059333,1.34590283931107,0.839653655776075,0.142755029088397,0.467564998182172,0.612461815069194,0.666320174549879,0.000460676918320548,1.53785103252755,187.631465476798,1.29815727444193
8,30,29.5310396529178,2.63444964588427,5.91739415770027,5.01497121224383,2.36676791888612,0.0860390111934229,0.592717929343836,0.436076646178254,0.13508978955473,0.00757892826285447,0.646571487562189,0.758493864013206,0.0228020976406443,1.70850539199937,191.689462011511,1.47366511904219
9,30,29.1311925407268,2.62821575357229,6.30276495551473,5.08901102322274,1.10222157695545,0.02385919658115,1.38224934268672,0.567097305521261,0.220796285000878,0.758538730554452,0.62890819941514,0.608645784978271,0.00383760811850234,1.46889690474072,188.329667050543,1.70590608431308
10,30,24.0489274214563,2.77106341470066,6.38331694235532,5.94613417457948,2.42404573460048,0.0659949940705624,0.90034545352662,0.469696493387566,0.261624362134569,0.56925148607525,0.796535696436172,0.487848673952032,0.00534199921745041,1.6343670952553,190.566229404195,1.80312084355515
