"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","NLL","mse"
1,25,19.571037529563,2.4174795663845,3.40015898196013,2.99365534915584,2.89759005104331,0.0704482942898244,0.883817065818868,1.14819810087537,0.72027376057071,230.231756687451,0.685869505209715
2,25,25.7280772639373,2.3153593879692,4.02760401034211,3.32467258871447,2.08047527558872,0.017123821666953,1.422463030475,0.796950218606512,0.722084563740546,228.65513784004,0.598880412354779
3,25,25.3212074828784,2.28085505144584,3.28426569673265,3.51624661991554,2.88442533331045,0.0506696854616191,0.969470803160509,1.13047768155753,0.737985231065775,229.441989416456,0.629524407831607
4,25,26.3345049670291,2.82563994625525,3.27160877657018,3.87598118962237,2.6852204850054,0.0338400369564014,1.49349433207654,1.31090962934152,0.713081601181595,230.600207878947,0.633055610989748
5,25,26.0254072457293,2.75166163625383,2.50714280023027,3.35502198098596,2.83159144224895,0.0350822394284337,1.16778194328632,1.20094466471636,0.746437584820276,230.135354720984,0.654427440203864
6,25,27.3436701403533,2.81454502184076,2.62770772900116,2.98879362979156,2.70278380984323,0.0395069778238383,0.938818127150186,1.05247725680356,0.709907180380642,230.534168266237,0.66470916876
7,25,24.7449540154171,2.60865550322212,2.89963571112939,3.881217076678,2.93762809545173,0.0214185157067421,1.40388386164943,1.06494920609498,0.71611150679366,228.885413097791,0.586730896532375
8,25,24.6949559237388,2.56198909749107,2.4148162829035,3.60472250506098,2.56209258178317,0.0293147791406469,1.13197152130142,1.15147365675607,0.727935614548431,230.354317904374,0.628772051874409
9,25,25.7792949965308,2.5923795054683,2.51289187869513,3.06880032753312,2.10224256396745,0.0171988626440767,1.73937296076735,1.38496827589196,0.718447409527304,230.868649857363,0.684493262560271
10,25,26.1780121372919,2.65677211175251,3.04400759727631,2.33933349011815,2.96462687012929,0.0288698424210998,1.36676276136433,1.19127629945125,0.740945063750246,229.912988702597,0.675802146464949
