"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","NLL","mse"
10,25,25.8501902581569,2.67381953015211,4.83237472357271,4.13890345594949,2.07517757664298,0.00984292512512663,0.775373262442746,0.0681852161630986,0.926388595529237,320.395228388497,1.0165212035935
1,30,27.45736530247,1.70666466378301,2.51856481122048,4.32738327272152,2.68827294432007,0.00103359532760412,0.519349435693055,1.96095333371266,1.0082222483966,351.824563154413,1.31191357967312
2,30,28.1637659740235,2.66103437868232,3.4976858903455,4.46529470431072,2.89191611628095,0.00921358877577348,0.862636250549413,0.223396417730386,0.933734189976223,328.304583521266,1.17471760886741
3,30,28.6614876404561,2.48803547695343,3.65859720387517,4.7138561001027,2.06719075692768,0.0113475905005982,0.976182137813778,0.44213736518915,0.961924165155843,327.508347388694,1.08613516612185
4,30,29.3075004185518,1.49444655103249,3.01553966700997,3.74836373531423,2.45771060479109,0.000370041571536064,2.13721534806302,2.53397833943631,1.07135706098056,354.132590245004,1.33320672696552
5,30,29.0303329140677,2.48544368551577,3.62133325552669,4.58754882978471,1.20214783691448,0.0183296141481969,0.451253969250719,0.42248528370106,0.993868497109909,331.794576121744,1.08083846279512
6,30,29.5131541818079,1.91220326413545,2.34284971149033,3.97162955690756,2.35685452664562,0.000224104183656968,2.28436347955942,2.5671752736172,1.12649169177933,354.520167678547,1.52478905688573
7,30,28.5464779546116,2.66861614358452,3.91165693389026,4.65676267538824,1.15537909941569,0.0539752135590359,0.266254930923815,0.787108022627488,1.04654911714151,337.765973485636,0.937996501434667
8,30,28.6337328834355,2.74278633822606,4.63252791922847,4.40130165429706,2.59683115080186,0.0194524838296956,0.902426812485999,0.438187092175304,0.980054082105918,322.901793971672,1.02997090543776
9,30,23.2031681772975,2.00208539254569,2.50009149128159,4.71498536851538,0.982217110757777,0.000639384145036469,0.0726182803781563,2.40285255945242,1.11195045224466,349.804862570881,1.35037314524324
10,30,28.0137238140033,2.84081999932909,2.4397787615901,5.33507097828784,1.73314737674653,0.000408935045486025,3.15322644476208,2.48454710732861,1.06237896813254,358.455611782989,1.26640599940521
