"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","NLL","mse"
1,30,27.908765013744,2.81213974378839,5.86354320028824,3.82368919125142,2.27855570012977,0.0982348616990687,0.911400019688463,0.333149679062383,0.207048801466767,0.16416410009643,0.940468742983192,306.1894229833,0.776013004729425
2,30,29.8693204652584,1.73959086991458,2.96672761414497,4.57243423558435,0.948298348036826,3.01048426351562,0.567008855545494,2.52105262278034,0.00867889944808087,0.00250214904401227,1.07969815252242,336.892247738698,1.02608716638679
3,30,28.030473691565,2.74275976190469,5.09738680916096,4.48597718560716,2.12356020673439,0.124446345080091,0.910527418115108,0.45960465209876,0.22705366777933,0.149799924771609,0.927841653736899,306.549944811062,0.80064243255333
4,30,29.23354046453,2.91705293342221,5.34930821620187,5.33548466068624,2.60882283650813,0.033645711784681,1.14258741959768,0.224397990423755,0.343338230210378,0.200781225986246,0.940249271056023,306.507006822891,0.768683863395054
5,30,29.8663500695871,2.61266067180703,5.16029974608606,4.49722591869126,2.33893876794722,0.0139038662680952,1.19544477749132,0.326669964824274,0.868892177649564,0.66576074516457,0.904081307002428,306.237949126766,0.846860988538487
6,30,27.7976415692675,2.60122619298396,3.63736641116469,4.63097937863359,1.63931656198539,0.0243790100410766,0.948347724683259,0.61167305658928,0.84588438590352,0.529455354325887,0.969368696361472,313.798447475255,0.837214521225549
7,30,27.5729143194358,2.83839144938804,4.52039967505281,4.50127367689871,2.44465965201999,0.0341487324510636,0.843642988366832,0.00325344644714889,0.305868923673564,0.164555475310006,0.908614662717721,307.442000050656,0.721418930160151
8,30,29.9320482923067,2.80826667577642,4.24337380428098,4.12039445461719,2.09173364181879,1.50611593817548,0.542118103217312,0.570124861519733,0.0286385156685904,0.0163717641986849,1.00365238599231,314.040501797111,0.74407300280269
9,30,29.978962662147,2.53907957931583,4.99899790820997,4.49861871115409,1.77595442133562,0.233655065904444,1.11573406214598,0.557559893333021,0.0822380338848461,0.0627814209857206,0.925792900889693,306.811832363684,0.793757717716275
10,30,27.3849738163758,2.88543794656025,4.60344108996555,4.97906635867391,2.51529150503058,0.0409587114334385,1.04965792185534,0.40558658882645,0.441164954179562,0.271574422947423,0.945090158706914,306.659844932459,0.800407550539321
