"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","NLL","mse"
9,25,25.2094661672811,2.62132674723696,7.7490096311296,5.15175188405699,1.24178837687896,0.0748531400833637,1.28754403905897,0.073178178999429,0.178530252757006,0.0429733044199426,1.72944049691138,193.284845842792,2.07162465856748
10,25,17.4001451022109,2.10059183288646,6.52294438154187,4.99050795066443,0.818059616652581,0.131055927537043,0.548451839856954,0.150576047714349,0.513470810532449,0.0522408294200914,1.77418872520492,197.309065290655,2.58759073037324
1,30,28.2979002221253,2.33269082850961,7.91649323850979,5.77852209935001,2.20290484647978,0.0173557555302208,1.28172333235132,0.120781668836887,0.601061171173295,0.205099752466625,1.8535185895555,194.987310427317,1.97075538789069
2,30,25.983634251733,2.19764990612349,7.38332924257953,4.88043621210429,0.81567573675148,0.0466488747072868,0.766471392890049,0.0940959439154415,0.933335958979729,0.0903246555415368,1.62841777480375,193.973906636464,2.23140785942313
3,30,26.123242319735,2.6319344150222,7.11404362418488,4.80989340743749,0.777331910977275,0.0153763655895755,1.07990737545209,0.0993307348303167,0.95359668545543,0.220527310324204,1.58830308031534,194.510193153541,1.99811350055632
4,30,29.6391135448135,2.38151004604288,8.96345188571473,5.34690034276387,1.7973748943689,0.0842460761216972,0.88718743249062,0.266485593772296,0.506872399439897,0.153224427867192,1.6963208471,194.915054422079,2.22796235038246
5,30,22.7520530920085,2.15493162429328,5.77938359771031,5.1278189726325,2.98007610801339,0.0715718669845641,0.803041809821898,0.274312896810196,0.608243240494226,0.080814227084152,1.75444624193036,199.32153501708,2.35303442738907
6,30,27.78476745692,2.03750815798167,7.87466706001,4.93643494125857,1.24386033460205,0.131781860466646,1.12572677384848,0.0607672247311227,0.128377604703506,0.0207468997589035,1.55502649123015,192.438198414497,1.76891209052221
7,30,26.0313813616331,2.28610638792322,9.02779476778724,5.67197552192313,1.77997595800028,0.0468731726135566,1.09287807197411,0.201009351318026,0.588690921436201,0.128187147503477,1.60029300383862,191.958519111898,2.02974049517889
8,30,29.1915685991306,2.70600402555979,7.66362758066238,5.07038013983176,1.32435996363411,0.0497024627778861,0.766864504606853,0.107257461831235,0.689502295589528,0.140830587131492,1.56064284818993,194.681319315385,2.08921547921987
9,30,29.5874141086128,2.53550566083906,5.26482141921839,5.34196282269381,1.64614112748437,0.150965335131436,0.542548376435203,0.233211101167847,0.414045266649719,0.0271185712018284,1.76875172696454,200.743155970058,2.78330414929475
10,30,23.1315224380201,2.21063263053794,6.55704881601588,5.51660255683063,1.8349846162976,0.0579628137615065,0.99893643053088,0.188651271404543,0.603220480526344,0.0484278537055111,1.69854927486379,197.050988175371,2.41167172551811
