"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","NLL","mse"
1,25,19.9474890419222,2.20381044108226,2.37448823391059,3.54798564204011,2.66592573403005,0.299404419240043,1.44888846647179,0.830918333107041,0.0731273324458947,0.0039657462542117,0.702774156687125,225.350892780352,0.437895394284008
2,25,21.7279439311647,2.25827455809698,3.18411859034071,4.03041787276715,2.86887560328458,0.0214847039833361,1.54996569510042,0.587306697468312,0.693581775448928,0.109631166853617,0.720864359428568,224.151101192841,0.35324934221785
3,25,22.7113275636758,2.49628303679841,2.27733469154372,3.55635399266009,2.81157528519282,0.0307642403874159,1.2516465658342,0.538694764718012,0.511196144051273,0.00752956966323734,0.698753449978713,226.491326378209,0.426309752514214
4,25,28.5160702764002,2.71831460988703,2.96780587558139,4.5003586884659,2.79705504442439,0.165655939289083,0.95674367888017,1.01757582991696,0.328489392765116,0.132189273425028,0.689222255803705,228.764875741162,0.476663075171157
5,25,29.6915099833471,2.98006638785836,2.04198187838578,4.06369616719616,2.17530484675641,2.36598092786229,0.359030750379437,1.28117621349008,0.0674892591697034,0.00323431115918493,0.737352632802045,234.147798471056,0.509745039891635
6,25,25.9707726170587,2.64003571915138,2.72747206537806,3.28042201447437,2.1040542141361,0.0215252696730701,1.59684742516722,0.846172444124602,0.714768595426324,0.287223212872005,0.70319352700346,225.854108983131,0.543051950636121
7,25,23.3962452262025,2.5029087445343,1.86876217479668,3.00073833172783,2.53753359670333,3.1564771344461,0.338655044841783,1.94263734896106,0.0413705386259111,0.0363635059053913,0.778545044388516,236.482379854808,0.769652589240555
8,25,26.9328826371937,2.58199996354672,2.35139333978678,5.00918195719333,2.99135115973729,3.04030595843907,0.113711915830842,1.38074937918951,0.0579048899850358,0.0215308828147554,0.723330486655703,234.436752830814,0.55523850722595
9,25,25.7058533154328,2.32204265664056,2.85860653856192,3.98277639891275,2.55235334109464,0.0133131914490888,2.43024070167858,0.838242853574312,0.395119397286001,0.0430781487445551,0.700241177571621,222.597873131281,0.379867466367647
10,25,21.0244805371899,2.56700831155189,2.91755791677829,3.41364257856437,2.7707892660593,0.0165428943143351,2.09972246355659,0.778713387096967,0.509982679800028,0.122944786019929,0.703894324608083,223.007144427223,0.434435506178112
